No,Pertanyaan,Jawaban
1,Jam berapa KRL dari Tanah Abang ke Bogor pagi ini?,"Pagi ini KRL dari Tanah Abang ke Bogor mulai jam 04:30, terus setiap 10-15 menit. Cek app KAI Access buat jadwal real-time ya bro, kadang ada perubahan!"
2,KRL terakhir dari Jakarta Kota ke Bekasi jam berapa?,"KRL terakhir dari Jakarta Kota ke Bekasi sekitar 23:30 WIB. Pastikan cek di app atau papan jadwal stasiun, kadang molor!"
3,Ada KRL langsung dari Depok ke Sudirman tanpa ganti?,"Ada bro, KRL langsung Depok ke Sudirman lewat rute merah. Berangkat setiap 15 menit, cek jadwal di KAI Access!"
4,Jadwal KRL Bogor-Jakarta hari libur gimana?,"Hari libur jadwal KRL Bogor-Jakarta lebih sering, mulai 04:00 sampe 23:30, interval 10 menit. Tapi bisa padat, datang lebih awal ya!"
5,KRL ke Tangerang dari Manggarai berangkat jam berapa?,"Dari Manggarai ke Tangerang mulai jam 05:00, setiap 15-20 menit. Cek app KAI buat jadwal pasti!"
6,Rute KRL merah (Jakarta-Bogor) lewat stasiun mana aja?,"Rute merah Jakarta-Bogor lewat Juanda, Sudirman, Palmerah, sampai Bogor. Total 14 stasiun, cek peta di stasiun ya bro!"
7,Kapan KRL biru (Bekasi-Tangerang) mulai jalan?,"KRL biru Bekasi-Tangerang mulai jam 04:30 dari kedua arah, interval 20 menit. Cek real-time di app KAI!"
8,Jadwal KRL akhir pekan dari Jatinegara ke Depok?,"Akhir pekan mulai 04:30 dari Jatinegara ke Depok, setiap 15 menit sampe 23:00. Bisa padat, siap-siap antre ya!"
9,KRL dari Cawang ke Bogor ada berapa kali sehari?,"Sekitar 70-80 trip sehari dari Cawang ke Bogor, mulai 04:30 sampe 23:30. Cek app KAI buat detailnya bro!"
10,Rute KRL kuning (Jakarta-Rajawali) stop di stasiun apa?,"Rute kuning Jakarta-Rajawali lewat Kampung Bandan, Kemayoran, sampe Rajawali. Cek peta KRL buat rute lengkap!"
11,Jam KRL pertama dari Bekasi ke Tanah Abang?,KRL pertama dari Bekasi ke Tanah Abang jam 04:30 WIB. Cek jadwal di stasiun atau app ya!
12,KRL ke Serpong dari Sudirman lewat mana?,"Dari Sudirman ke Serpong lewat rute biru, transit di Tanah Abang atau Palmerah. Berangkat setiap 20 menit!"
13,Jadwal KRL harian dari Bogor ke Manggarai?,"Mulai 04:00 dari Bogor ke Manggarai, setiap 10-15 menit sampe 23:00. Cek KAI Access buat update!"
14,Ada KRL express dari Depok ke Jakarta Kota?,"Belum ada KRL express bro, semua masih reguler. Rata-rata 1-1,5 jam dari Depok ke Jakarta Kota!"
15,KRL hijau (Depok-Bogor) berangkat jam berapa pagi?,"KRL hijau Depok-Bogor mulai jam 04:30 pagi, setiap 15 menit. Cek jadwal di app ya!"
16,Rute lengkap KRL dari Tangerang ke Bekasi?,"Rute Tangerang-Bekasi lewat Duri, Tanah Abang, Jatinegara, sampe Bekasi. Total sekitar 2 jam!"
17,Jadwal KRL saat musim hujan sering telat gak?,"Iya bro, musim hujan sering telat 15-30 menit karena banjir atau gangguan listrik. Pantau via app KAI!"
18,KRL dari Jatinegara ke Parung Panjang ada?,"Ada bro, lewat rute hijau, berangkat setiap 20 menit dari Jatinegara ke Parung Panjang!"
19,Jam KRL terakhir ke Tanjung Priok?,KRL terakhir ke Tanjung Priok sekitar 22:30 dari Jakarta Kota. Cek jadwal stasiun ya!
20,Rute KRL loop line di Jakarta pusat?,"Loop line Jakarta pusat lewat Juanda, Sudirman, Manggarai, sampe Kampung Bandan. Cek rute kuning!"
21,Berapa harga tiket KRL dari Jakarta ke Bogor?,"Tarif Jakarta-Bogor mulai Rp6.000-Rp9.000 tergantung jarak, pakai e-money ya bro!"
22,Tarif KRL Depok ke Sudirman berapa?,"Depok ke Sudirman sekitar Rp3.000-Rp4.000, cek tarif berdasarkan jarak di app KAI!"
23,Harga KRL Tangerang-Bekasi naik gak tahun ini?,"Belum ada kenaikan resmi tahun 2025, masih Rp7.000-Rp10.000. Cek update KAI ya!"
